nome,ocupacao,data_nascimento,data_morte,conteudo
Stephen King, Escritor norte-americano,21/09/1947,não informado,"Stephen King (1947) é um escritor norte americano, autor de best-sellers do gênero de terror e da fantasia. É um dos autores mais adaptados para o cinema e também para a televisão."
Sophia Loren, Atriz italiana,20/09/1934,não informado,"Sophia Loren (1934) é uma atriz italiana. Estreou em Hollywood, com o filme ""Orgulho e Paixão"", ao lado de Cary Grant e Frank Sinatra. Em 1962 ganhou o Oscar de melhor atriz, com o filme ""Duas Mulheres""."
Sophia de Mello Breyner Andresen, Poetisa portuguesa,06/11/1919,02/07/2004 (aos 84 anos),"Sophia de Mello Breyner Andresen (1919-2004) foi uma das mais importantes poetisas portuguesas contemporâneas. Foi a primeira mulher a receber o Prêmio Camões, o maior prêmio literário da língua portuguesa."
Sophia Abrahão, Atriz brasileira,22/05/1991,não informado,"Sophia Abrahão (1991) é uma atriz, cantora e ex- modelo brasileira. Participou do programa de televisão ""Malhação"", da TV Globo."
Sérgio Moro, Juiz brasileiro,01/08/1972,não informado,"Sérgio Moro (1972) é um juiz brasileiro da 13ª Vara Federal que se notabilizou por comandar a maior investigação contra a corrução no Brasil, a Operação Lava Jato."
Sérgio Buarque de Holanda, Historiador brasileiro,11/07/1902,24/04/1982 (aos 79 anos),"Sérgio Buarque de Holanda (1902-1982) foi um historiador brasileiro. Autor do clássico ""Raízes do Brasil"". Foi também crítico literário, jornalista e professor. Sua vida foi praticamente dedicada ao trabalho acadêmico. Foi catedrático da Universidade de São Paulo, até 1969, quando se aposentou, em protesto contra a cassação de professores da USP, entre eles, o sociólogo Fernando Henrique Cardoso."
Steve Jobs, Empresário americano,24/02/1955,05/10/2011 (aos 56 anos),"Steve Jobs (1955-2011) foi um empresário norte-americano, fundou a Apple. Criou o ""Macintosh"", o ""iPod"", o ""iPhone"" e o ""iPad"". A Apple revolucionou a indústria de computadores pessoais, os filmes de animação, o mundo da música e dos telefones celulares."
Sergey Brin, Cofundador do Google,21/08/1973,não informado,"Sergey Brin (1973) é o presidente da gigante de tecnologia Alphabet, a matriz do Google. Foi o criador e cofundador do Google – o site de busca da internet. Com o Google, Brin e Page fazem parte da Lista de bilionários da Forbes."
Sêneca, Filósofo e escritor romano,não informado,não informado,"Sêneca (4 a. C. - 65) foi um filósofo, escritor e político romano. Mestre da retórica foi o principal representante do Estoicismo durante o Império Romano."
Selena Gomez, Cantora e atriz norte-americana,22/07/1992,não informado,"Selena Gomez (1992) é atriz, cantora e compositora norte-americana. Engajada em campanhas de ajuda a crianças e adolescentes, foi nomeada embaixatriz da UNICEF. É cantora da banda ""Selena Gomeez & The Scene"".  É amiga da também cantora Demi Lovato e namorou o cantor pop Justin Bieber."
Serena Williams, Tenista norte-americana,26/09/1981,não informado,Serena Williams (1981) é uma tenista norte-americana. Foi campeã olímpica em Londres (2012) quando venceu a tenista russa Maria Sharapova.
Sebastião Salgado, Fotógrafo brasileiro,08/02/1944,não informado,Sebastião Salgado (1944) é um fotógrafo brasileiro considerado um dos maiores talentos da fotografia mundial pelo teor social de seu trabalho.
Sean Connery, Ator britânico,25/08/1930,31/10/2020 (aos 90 anos),Sean Connery (1930-2020) é um ator e produtor de cinema britânico. Grande parte de sua fama se deve ao personagem James Bond que interpretou em sete filmes da série.
Scarlett Johansson, Atriz e cantora norte-americana,22/11/1984,não informado,"Scarlett Johansson (1984) é uma atriz, modelo, cantora e compositora norte-americana. Famosa por ter atuado em filmes como “A Moça do Brinco de Pérola”, “Match Point” e “The Avengers” (Os Vingadores)."
Saulo Poncio, Cantor e compositor brasileiro,26/12/1996,não informado,Saulo Márcio Silva de Sousa é um cantor e compositor brasileiro que pertence à dupla UM44K.
Sarah Menezes, Judoca brasileira,26/03/1990,não informado,"Sarah Menezes (1990) é uma judoca brasileira. Entrou para a história dos esportes como a primeira mulher a receber uma medalha de ouro no judô brasileiro, durante a competição dos Jogos Olímpicos de Londres em 2012."
São Tiago, Apóstolo de Cristo,não informado,não informado,"São Tiago foi um dos 12 apóstolos de Jesus Cristo. É citado no Novo Testamento entre os três mais próximos apóstolos de Jesus, junto com os irmãos Pedro e André e seu irmão mais novo João."
São Tomé, Apóstolo de Cristo,não informado,não informado,"São Tomé foi um dos doze apóstolos de Jesus Cristo. Seu nome está ligado à expressão “ver para crer”, pois ele estava ausente e duvidou da ressurreição de Jesus."
São Simão, Apóstolo de Cristo,não informado,não informado,"São Simão, Apóstolo foi um dos doze primeiros apóstolos de Jesus Cristo. Entre todos os apóstolos é o menos citado nos Evangelhos.."
São Sebastião, Mártir da Igreja Cristã,não informado,não informado,"São Sebastião foi um mártir dos primeiros séculos da igreja cristã, por professar e não renegar sua fé em Cristo."
São Pedro, Apóstolo de Cristo,não informado,não informado,"São Pedro (1 a.C.- 67) foi apóstolo de Cristo, um de seus primeiros discípulos. É considerado o fundador da Igreja Cristã em Roma e o seu primeiro papa."
"São Paulo, Apóstolo", Apóstolo de Cristo,não informado,não informado,"São Paulo, Apóstolo (5-67) foi um apóstolo de Cristo, um dos maiores propagadores do cristianismo. Autor de treze epístolas do Novo Testamento. Antes de se converter ao Cristianismo era conhecido como Saulo e perseguia os discípulos de Jesus nos arredores de Jerusalém."
São Matias, Apóstolo de Cristo,não informado,não informado,"São Matias foi um dos apóstolos de Cristo. Foi o escolhido entre os demais discípulos de Jesus para preencher a vaga, no colégio apostólico, deixada por Judas após seu suicídio."
São Mateus, Apóstolo de Cristo,não informado,não informado,"São Mateus foi um dos doze apóstolos de Cristo. É o autor do primeiro dos três evangelhos sinóticos, os outros dois são de Marcos e Lucas. No Evangelho, Mateus apresenta Jesus com o título de Emanuel, que significa “Deus está conosco”."
São Marcos, O evangelista,não informado,não informado,"São Marcos Evangelista, foi um discípulo de São Pedro. Foi o autor do Evangelho Segundo São Marcos e o fundador da Igreja de Alexandria."
São Lucas, Foi um dos quatro evangelistas,não informado,não informado,São Lucas foi um dos quatro evangelistas. É o autor do terceiro evangelho  e do livro dos Atos dos Apóstolos. Seus textos são os de maior expressão literária do Novo Testamento. Seu dia é comemorado em 18 de outubro.
São Judas Tadeu, Apóstolo de Cristo,não informado,não informado,"São Judas Tadeu foi um apóstolo de Cristo. Era primo de Jesus. Sua mãe Maria era prima de Maria Santíssima e o pai Alfeu era irmão de São José. A pregação e o testemunho de Judas Tadeu impressionavam os pagãos que logo se convertiam. Não deve ser confundido com Judas Iscariotes, o apóstolo que traiu Jesus."
São João Evangelista, Apóstolo de Cristo,não informado,não informado,"São João Evangelista (6-103) foi um dos doze apóstolos de Cristo. O mais jovem deles. Junto com seu irmão Thiago, foi convidado a seguir Jesus em suas peregrinações. É o autor do quarto e último Evangelho Canônico, pertencente ao Novo Testamento, o ""Evangelho segundo João""."
São Francisco de Assis, Religioso italiano,05/07/1182,03/10/1226 (aos 44 anos),"São Francisco de Assis (1182-1226) foi um religioso italiano, fundador da Ordem dos Franciscanos. Era filho de um rico comerciante, mas fez votos de pobreza. Foi canonizado pelo papa Gregório IX, dois anos depois de sua morte. É conhecido como o protetor dos animais."
São Filipe, Apóstolo de Cristo,não informado,não informado,"São Filipe foi um dos 12 apóstolos de Cristo. Seu nome aparece sempre entre os primeiros na lista dos apóstolos. Ele é mencionado nos Evangelhos de Mateus, Marcos, Lucas e João."
São Camilo de Lellis, Religioso italiano,25/05/1550,14/07/1614 (aos 64 anos),"São Camilo de Lellis (1550-1614) foi um religioso italiano. Criou a Ordem São Camilo. É o padroeiro dos enfermos e dos hospitais. Foi declarado santo no dia 29 de junho de 1746, pelo Papa Bento XIV."
São Bento de Núrsia, Monge italiano,não informado,não informado,"São Bento de Núrsia (480-547) foi um monge italiano, iniciador da Ordem de São Bento ou Ordem Beneditina. Escreveu a Regra de São Bento, livro que transmite as instruções para a criação dos mosteiros. É festejado em 21 de março."
São Bartolomeu, Apóstolo de Cristo,não informado,não informado,"São Bartolomeu, também chamado de Natanael, foi um dos doze primeiros apóstolos de Jesus Cristo, junto com Pedro, seu irmão André, Tiago e seu irmão João, filhos de Zebedeu, Filipe, Tomé, Mateus, Tiago, filho de Alfeu, Tadeu, Simão, o cananeu e Judas Iscariotes, o traidor de Jesus."
Santo Inácio de Loyola, Padre jesuíta espanhol,23/10/1491,31/07/1556 (aos 64 anos),"Santo Inácio de Loyola (1491-1556) foi um padre jesuíta espanhol, um dos fundadores da Companhia da Jesus, ordem religiosa criada para combater a expansão do protestantismo na Europa, por meio do ensino e expansão da fé católica. Foi ordenado padre pelo Papa Paulo III. Foi canonizado pelo Papa Gregório XV."
Santos Dumont, Inventor brasileiro,20/07/1873,23/07/1932 (aos 59 anos),"Santos Dumont (1873-1932) foi um inventor e aeronauta brasileiro, conhecido como ""O pai da aviação"". Foi o primeiro a projetar e construir um balão dirigível que decolou, contornou a Torre Eiffel e aterrizou valendo-se somente da força de um motor a gasolina."
Santo Antônio de Pádua, Santo da Igreja Católica,15/08/1195,13/06/1231 (aos 35 anos),Santo Antônio de Pádua (1195-1231) é um santo venerado pela Igreja Católica. Foi canonizado pelo Papa Gregório IX em 30 de maio de 1232. Seu dia festivo é comemorado no Brasil e em Portugal em 13 de junho.
Santo André, Apóstolo de Cristo,não informado,não informado,"Santo André foi um dos doze apóstolos de Jesus Cristo. Foi o primeiro a recrutar apóstolos para o Messias. No Novo testamento é sempre citado entre os quatro primeiros, junto com João, Tiago e seu irmão Pedro."
Santo Agostinho, Filósofo e teólogo romano,13/11/0354,28/08/0430 (aos 75 anos),"Santo Agostinho (354-430) foi um filósofo, escritor, bispo e importante teólogo cristão do norte da África, durante a dominação romana. Suas concepções sobre as relações entre a fé e a razão, entre a Igreja e o Estado, dominaram toda a Idade Média."
Santo Afonso Maria de Ligório, Bispo e poeta italiano,27/09/1696,01/08/1789 (aos 92 anos),"Santo Afonso Maria de Ligório (1696-1787) foi um bispo, escritor e poeta italiano. Fundou a congregação religiosa dos Padres Redentoristas. Estudou na Universidade de Nápoles e aos 16 já estava formado em Direito Civil e Canônico. Como advogado conseguiu renome mas abandonou tudo para se dedicar a vida religiosa."
Santiago Calatrava, Arquiteto e engenheiro espanhol,28/07/1951,não informado,"Santiago Calatrava (1951) é um arquiteto e engenheiro espanhol, um expoente da chamada “arquitetura espetáculo”, com suas obras de vidro e aço que lembram verdadeiras esculturas gigantes."
Santa Maria Madalena,não informado,não informado,não informado,"Santa Maria Madalena é citada no Novo Testamento como uma das discípulas de cristo. Maria Madalena, Maria Betânia e Maria pecadora são a mesma pessoa, segundo o Papa São Gregório, estudioso dos Santos. De acordo com o Evangelho de Lucas, Maria Madalena hospedou e proveu materialmente Jesus e seus discípulos, durante sua pregação na Galileia."
Ruby Bridges, Ativista norte-americana,08/09/1954,não informado,Ruby Nell Bridges Hall é uma importante ativista norte-americana que luta contra a segregação racial.
Santa Rita Durão,não informado,não informado,não informado,Santa Rita Durão (1722-1784) foi um religioso brasileiro. Poeta e orador foi um dos grandes representantes da poesia épica brasileira na época da colonização.
Rubem Valentim, Artista plástico brasileiro,30/11/1991,não informado,"Rubem Valentim (1922-1991) foi um artista plástico e professor brasileiro, considerado um mestre do concretismo no Brasil."
Rubem Braga, Cronista e jornalista brasileiro,12/01/1913,19/12/1990 (aos 77 anos),"Rubem Braga, (1913-1990) foi um escritor e jornalista brasileiro. Tornou-se famoso como cronista de jornais e revistas de grande circulação no país. Foi correspondente de guerra na Itália e Embaixador do Brasil em Marrocos."
Rubem Fonseca, Escritor brasileiro,11/05/1925,15/04/2020 (aos 94 anos),"Rubem Fonseca (1925-2020) foi um escritor brasileiro, considerado um dos maiores ficcionistas do Brasil. Ganhou vários prêmios, entre eles a Coruja de Ouro, o Kikito do Festival de Gramado, o Prêmio Jabuti e o Prêmio Camões."
Rubem Alves, Escritor e teólogo brasileiro,15/09/1933,19/07/2014 (aos 80 anos),"Rubem Alves (1933-2014) foi teólogo, educador, tradutor, psicanalista e escritor brasileiro. Autor de livros de filosofia, teologia, psicologia e de histórias infantis."
Rosa Luxemburgo, Marxista polonesa,05/03/1871,15/01/1919 (aos 47 anos),"Rosa Luxemburgo (1871-1919) foi uma revolucionária e teórica marxista polonesa, naturalizada alemã. Tornou-se uma destacada dirigente do movimento comunista internacional."
Roy Lichtenstein, Pintor pop norte-americano,27/10/1923,29/09/1997 (aos 73 anos),"Roy Lichtenstein (1923-1997) foi um pintor pop norte-americano, conhecido por seus quadrinhos, pintados em enormes telas, onde os textos se integram à pintura."
Rowan Atkinson, Comediante inglês,06/01/1955,não informado,"Rowan Atkinson (1955) é um comediante inglês, o criador do Mr. Bean, personagem que ele interpretou na série exibida entre 1990 e 1995 e em filmes de grande sucesso."
Rosa Parks, Ativista norte-americana,04/02/1913,24/10/2005 (aos 92 anos),"Rosa Parks (1913-2005) foi uma ativista do movimento dos direitos civis dos negros nos Estados Unidos. No dia 1 de dezembro de 1955, Rosa entrou para a história por se negar a ceder a um branco o seu assento em um ônibus em Montgomery, no Alabama."
Rosa e Silva, Político brasileiro,04/10/1857,01/07/1929 (aos 71 anos),"Rosa e Silva (1857-1929) foi um político brasileiro. Deputado da província de Pernambuco, deputado da Assembleia Geral do Império, senador e vice-presidente da república no governo Campos Sales."
Ronnie Von, Apresentador e cantor brasileiro,17/07/1944,não informado,"Ronnie Von (1944) é um apresentador, cantor e empresário brasileiro. Na década de 60 recebeu o apelido de “Pequeno Príncipe”. De segunda a sexta, ele apresenta na TV Gazeta o programa “Todo Seu”."
Ronnie O'Sullivan, Jogador de snooker inglês,05/12/1975,não informado,Ronald Antonio O'Sulivan é um dos maiores jogadores de snooker de todos os tempos. 
Ronaldo Bôscoli, Compositor brasileiro,28/10/1928,18/11/1994 (aos 66 anos),"Ronaldo Bôscoli (1928-1994) foi um compositor, produtor musical e jornalista brasileiro, um nome importante na época da ascensão da Bossa Nova."
Ronaldinho Gaúcho, Jogador de futebol brasileiro,21/03/1980,não informado,"Ronaldinho Gaúcho (1980) é jogador de futebol brasileiro, considerado um dos maiores que o Brasil já teve. Foi pentacampeão pela seleção brasileira em 2002, na copa da Coréia do Sul e Japão. Foi considerado o melhor jogador do mundo por dois anos seguidos, pela FIFA: 2004 e 2005."
Ronald Reagan, Político norte-americano,06/02/1911,05/06/2004 (aos 93 anos),Ronald Reagan (1911-2004) foi um político norte-americano. Foi governador da Califórnia e presidente dos Estados Unidos durante dois mandatos.
Romário, Político brasileiro,29/01/1966,não informado,Romário de Souza Faria (1966) atualmente é senador tendo sido eleito pelo Estado do Rio de Janeiro.
Romero Britto, Pintor brasileiro,06/10/1963,não informado,"Romero Britto (1963) é um pintor e escultor brasileiro, Radicado em Miami, nos EUA, ficou famoso por sua arte pop de estilo alegre e colorida. É um dos artistas brasileiros mais bem sucedidos e prestigiados no exterior. "
Roland Barthes, Intelectual francês,12/11/1915,25/03/1980 (aos 64 anos),"Roland Gérard Barthes, conhecido apenas como Roland Barthes no meio intelectual, nasceu em Cherbourg (França), no dia 12 de novembro de 1915."
Roger Waters, Cantor e compositor inglês,06/09/1943,não informado,"George Roger Waters, conhecido pelo grande público apenas como Roger Waters, é um famoso músico e cantor inglês."
Roger Moore, Ator inglês,14/10/1927,23/05/2017 (aos 89 anos),"Roger Moore (1927-2017) foi um ator inglês que interpretou o agente secreto 007, James Bond, em sete filmes, entre 1973 e 1985."
Roger Federer, Tenista suíço,08/08/1981,não informado,"Roger Federer (1981) é um tenista suíço, um dos melhores jogadores de todos os tempos, o maior vencedor do Grand Slam, com 17 títulos."
Roger Ebert, Crítico de cinema,18/06/1942,04/04/2013 (aos 70 anos),Roger Ebert (1942-2013) foi um crítico de cinema norte-americano. Foi o primeiro crítico a ganhar o Prêmio Pulitzer e uma estrela na calçada da fama de Hollywood.
Roger Bacon,não informado,não informado,não informado,"Roger Bacon (1214-1294) foi um filósofo, teólogo e cientista medieval inglês. Foi frade franciscano da Escola de Oxford. Dedicou-se ao estudo científico recebendo o apelido de “Doctor Mirabilis”."
Rodrigo Melo Franco," Advogado,  jornalista e escritor brasileiro",17/08/1898,11/05/1969 (aos 70 anos),"Rodrigo Melo Franco (1898-1969) foi advogado, jornalista e escritor brasileiro. Foi diretor do Instituto do Patrimônio Histórico e Artístico Nacional, durante 31 anos."
Rodrigo Santoro, Ator brasileiro,22/08/1975,não informado,"Rodrigo Santoro (1975) é ator brasileiro. Ficou conhecido internacionalmente pela atuação na série norte-americana “Lost” e no filme “300”, adaptação do desenhista Frank Miller."
Rodrigues Alves, Ex-presidente do Brasil,07/07/1848,16/01/1919 (aos 70 anos),"Rodrigues Alves (1848-1919) foi o 5.º presidente do Brasil, exerceu o cargo entre 15 de novembro de 1902 e 15 de novembro de 1906. Recebeu da Princesa Isabel o título de ""Conselheiro do Império"" Fundou a Faculdade de Medicina de São Paulo. Foi deputado provincial, deputado geral e Ministro da Fazenda."
Robespierre, Político e revolucionário francês,06/05/1758,28/07/1794 (aos 36 anos),"Robespierre (1758-1794) foi um político e revolucionário francês. Líder do governo após a vitória da Revolução Francesa, implantou uma ditadura que caracterizou o período do Terror."
Roberto Rivellino, Jogador de futebol brasileiro,01/01/1946,não informado,Roberto Rivelino foi tricampeão pela Seleção Brasileira e atuou especialmente pelo Corinthians e pelo Fluminense. 
Roberto Justus, Publicitário e apresentador de televisão brasileiro,30/04/1955,não informado,"Roberto Justus (1955) é um empresário, publicitário e administrador brasileiro. É também apresentador da televisão. Ganhou destaque na apresentação do programa “O Aprendiz”, realizado na TV Record."
Roberto Marinho, Empresário brasileiro,03/12/1904,06/08/2003 (aos 98 anos), Empresário brasileiro
Roberto Gómez Bolaños, Ator mexicano,21/02/1929,28/11/2014 (aos 85 anos),"Roberto Gómez Bolaños (1929-2014) foi um humorista mexicano, escritor, ator e produtor de cinema, televisão e teatro. Ficou famoso mundialmente por interpretar os personagens ""Chaves"" e ""Chapolin""."
Roberto Carlos (jogador), Ex-jogador de futebol,10/04/1973,não informado,"Roberto Carlos (1973) é um ex-jogador de futebol, um dos maiores laterais da história do futebol mundial e um grande cobrador de faltas. Tornou-se ídolo do Real Madri e vestiu a camisa da seleção brasileira em 126 partidas. Jogou nas Copas de 1992, 2002 (quando a equipe foi pentacampeã) e 2006."
Roberto Carlos, Cantor e compositor brasileiro,19/04/1941,não informado,Roberto Carlos (1941) é um cantor e compositor brasileiro considerado “O Rei” da música romântica. Foi o líder do movimento musical chamado de Jovem Guarda que surgiu nos anos 60.
Roberto Campos, Economista brasileiro,17/04/1917,09/10/2001 (aos 84 anos),"Roberto Campos (1919-2001) foi um economista, diplomata, político e escritor brasileiro. Foi Ministro do Planejamento e membro da Academia Brasileira de Letras."
Roberto Burle Marx, Artista plástico brasileiro,04/08/1909,04/06/1994 (aos 84 anos),"Roberto Burle Marx (1909-1994) foi um artista plástico brasileiro. Autor de mais de três mil projetos de paisagismo em 20 países. Foi também pintor, escultor, tapeceiro e criador de joias."
Roberta Flack, Cantora norte-americana,10/02/1937,não informado,"Roberta Flack (1937) é uma cantora, compositora e pianista norte-americana. É conhecida, sobretudo por baladas de sucesso dos anos 70, como Killing Me Sofily With His Song e The Closer I Get to You."
Renato Aragão, Humorista e cineasta brasileiro,13/01/1935,não informado,"Renato Aragão (1935) é um humorista, ator e cineasta brasileiro. Entrou para a história da televisão interpretando o personagem “Didi Mocó”, no programa humorístico “Os Trapalhões”."
Robert Pattinson, Ator músico inglês,13/05/1986,não informado,"Robert Pattinson (1986) é ator, modelo e músico inglês, conhecido pelas atuações em Harry Potter e filmes da série ""Crepúsculo"" onde fez par com a atriz Kristen Sterwat."
Rembrandt, Pintor holandês,15/07/1606,04/10/1669 (aos 63 anos),"Rembrandt faleceu em Amsterdã, Holanda, no dia 4 de outubro de 1669."
Reinaldo Azevedo, Jornalista brasileiro,19/08/1961,não informado,"Reinaldo Azevedo (1961) é um jornalista brasileiro. Colunista político e escritor, é autor do best seller ""O País dos Petralhas I”, entre outras obras."
Rei Arthur, Rei lendário da Grã-Bretanha,não informado,não informado,Rei Arthur foi o líder dos bretões que junto com seus fieis cavaleiros venceram as invasões saxônicas em doze batalhas sucessivas na Idade Média britânica.
Regina Duarte, Atriz brasileira,05/02/1947,não informado,"Regina Duarte (1947) é uma atriz brasileira de televisão, teatro e cinema. Atuou como protagonista em diversas novelas. Recebeu o título de ""Namoradinha do Brasil""."
Regina Casé, Atriz brasileira,25/02/1954,não informado,"Regina Casé (1954) é uma atriz, comediante e apresentadora brasileira. Recebeu o Prêmio de Melhor Atriz 2001 no Festival de Cartagena e o Prêmio de Melhor Atriz 2015 no Festival Sandance de Cinema. Comanda o programa ""Esquenta"", da Rede Globo."
Ray Charles, Cantor norte-americano,23/09/1930,10/06/2004 (aos 73 anos),"Ray Charles (1930-2004) foi um pianista, cantor e compositor norte-americano, uma das personalidades mais relevantes do soul, blues e jazz no século XX."
Raul Pompéia, Escritor brasileiro,12/04/1863,25/12/1895 (aos 32 anos),Raul Pompéia (1863-1895) foi um escritor brasileiro. A publicação do romance O Ateneu marcou seu nome entre os maiores romancistas brasileiros. É a obra mais importante do Realismo no Brasil.
Raul Seixas, Músico brasileiro,28/06/1945,21/08/1989 (aos 44 anos),"Raul Seixas (1945-1989) foi um cantor, compositor, guitarrista e produtor brasileiro, um dos mais importantes nomes do rock no Brasil. Entre suas músicas destacam-se: "
Raul Bopp, Poeta brasileiro,04/08/1898,02/06/1984 (aos 85 anos),"Raul Bopp (1898-1984) foi um poeta, cronista, jornalista e diplomata brasileiro. Fez parte da Primeira Geração do Modernismo. Seu livro ""Cobra Norato"" tornou-se uma das melhores realizações do Movimento Antropofágico."
Raquel Crasto, Educadora brasileira,03/10/1919,15/08/2004 (aos 84 anos),"Raquel Crasto (1919-2004) foi uma educadora brasileira, uma das fundadoras do “Instituto Capibaribe”, uma escola viva, onde a criança e o adolescente participam da realidade do seu meio geográfico e social e que, oferece um clima de espontaneidade e segurança."
Raposo Tavares, Bandeirante paulista,não informado,não informado,"Raposo Tavares (1598-1658) foi um bandeirante paulista, pioneiro da colonização do interior do Brasil. Foi juiz ordinário da Vila de São Paulo e Ouvidor de toda a capitania de São Vicente. Recebeu do rei D. João IV, o título de Mestre de Campo."
Ramsés II, Faraó egípcio,não informado,não informado,"Ramsés II (o Grande) foi um faraó egípcio, permanecendo no trono entre os anos de 1279 a 1213 a. C. Seu império foi considerado o mais próspero do Egito."
Ramalho Ortigão, Escritor português,24/11/1836,27/09/1915 (aos 78 anos),"Ramalho Ortigão (1836-1915) foi um escritor e jornalista português que, junto com Eça de Queiroz editou a revista de crônicas ""As Farpas"", a primeira publicação do gênero em Portugal."
Ralph Waldo Emerson, Filósofo norte-americano,23/05/1803,27/04/1882 (aos 78 anos),"Ralph Waldo Emerson (1803-1882) foi um escritor, ensaísta, poeta e filósofo norte-americano. É um dos fundadores do movimento cultural denominado Transcendentalismo."
Rainha Vitória, Rainha da Inglaterra,24/05/1819,22/01/1901 (aos 81 anos),"Rainha Vitória (1819-1901) foi rainha da Inglaterra e Irlanda. Foi Imperatriz da Índia. Coroada aos 18 anos de idade reinou durante 63 anos e sete meses de 1837 a 1901. Seu reinado ficou conhecido como ""Era Vitoriana""."
Rainha de Sabá, Soberana do reino de Sabá,não informado,não informado,"Rainha de Sabá foi uma soberana do antigo reino de Sabá que, segundo alguns pesquisadores, ficava localizado na região sul da península Arábica (no atual Iêmen), próximo ao mar vermelho, entre os séculos X e XII a. C."
Raimundo Correia, Poeta brasileiro,13/05/1859,13/09/1911 (aos 52 anos),"Raimundo Correia (1859-1911) foi um poeta brasileiro, um dos mais destacados poetas do Parnasianismo, movimento essencialmente poético que reagiu contra os abusos sentimentalistas dos românticos."
Raimundo Carrero, Escritor brasileiro,20/12/1947,não informado,"Raimundo Carrero (1947) é um escritor brasileiro. Conquistou o Prêmio Oswald de Andrade, em 1987, de revelação como romancista, no Rio Grande do Sul. Em 1988, foi apontado como Personalidade Cultural pela União Brasileira de Escritores do Rio de Janeiro. Em 20 de janeiro de 2005 ingressou para Academia Pernambucana de Letras, ocupando a cadeira nº 3. É membro da Academia de Artes e Letras de Pernambuco, ocupando a cadeira nº 6."
Rafael Sanzio, Pintor italiano,06/04/1483,06/04/1520 (aos 36 anos),"Rafael Sanzio (1483-1520) foi um pintor italiano, uma das grandes expressões do Renascimento. Mestre da pintura e arquitetura da Escola de Florença, é considerado um dos maiores pintores do renascimento juntamente com Leonardo da Vinci e Michelangelo."
Rafael Nadal, Tenista espanhol,03/06/1986,não informado,"Rafael Nadal (1986) é um tenista espanhol. Com 19 anos já havia conquistado o segundo lugar no ranking mundial masculino da Associação de Tênis Profissional (ATP), e com 22 anos se tornou o nº 1 do mundo."
Rachel de Queiroz, Escritora brasileira,17/11/1910,04/11/2003 (aos 92 anos),"Rachel de Queiroz (1910-2003) foi uma escritora brasileira. A primeira mulher a entrar para a Academia Brasileira de Letras e a primeira mulher a receber o Prêmio Camões. Foi também jornalista, tradutora e teatróloga. Seu primeiro romance ""O Quinze"", ganhou o prêmio da Fundação Graça Aranha. O romance ""Memorial de Maria Moura"" foi transformado em minissérie para televisão."
Rabindranath Tagore, Escritor e místico indiano,07/05/1861,07/08/1941 (aos 80 anos),Rabindranath Tagore (1861-1941) foi um escritor e místico indiano. Seus versos contribuíram de maneira significativa para o melhor conhecimento mútuo das culturas indiana e ocidentais.
Quintino Bocaiúva, Político e jornalista brasileiro,04/12/1836,11/06/1912 (aos 75 anos),"Quintino Bocaiúva (1836-1912) foi um político e jornalista brasileiro, um dos mais importantes propagandistas do regime republicano. Foi nomeado Ministro das Relações Exteriores do Governo Provisório."
Quentin Tarantino, Roteirista de cinema norte-americano,27/03/1963,não informado,"Quentin Tarantino (1963) é roteirista e diretor de cinema norte-americano. Considerado um dos grandes inovadores do cinema contemporâneo. Ficou conhecido por ter escrito e dirigido filmes como “Cães de Aluguel"", “Amor à Queima-Roupa” e “Pulp Fiction- Tempo de Violência”."
Quino, Quadrinista argentino,17/07/1932,30/09/2020 (aos 88 anos),"Quino (1932-2020) é um cartunista e humorista argentino, autor das famosas tiras do personagem Mafalda, uma menina inteligente e contestadora que ganhou grande repercussão no cenário mundial."
Prudente de Morais, Ex-presidente do Brasil,04/10/1841,03/12/1902 (aos 61 anos),"Prudente de Morais (1841-1902) foi o primeiro presidente civil da República do Brasil e o primeiro eleito pelo voto popular. Foi o terceiro presidente da República, tomou posse em 15 de novembro de 1894 e permaneceu no cargo até 1898."
Protágoras,não informado,não informado,não informado,
Projota, Rapper brasileiro,11/04/1986,não informado,"Projota (1986) é um rapper, compositor e produtor musical brasileiro, que conquistou grande popularidade no funk."
Príncipe William, Príncipe inglês,21/06/1982,não informado,"Príncipe William (1982) é um príncipe da Inglaterra, neto da rainha Elizabeth II, o segundo na linha de sucessão do trono britânico depois de seu pai, o príncipe Charles."
Príncipe Harry, Duque de Sussex,15/09/1984,não informado,"Príncipe Harry (1984), Duque de Sussex, é o filho mais novo do Príncipe Charles e neto da rainha Elizabeth II da Inglaterra. É irmão do príncipe William. Em janeiro de 2020, Harry e sua esposa Meghan Markle decidiram abdicar dos privilégios que tinham como membros reais e, não mais usar seus títulos de Sua Alteza Real."
Príncipe Dom Luiz de Orleans e Bragança,não informado,não informado,não informado,Príncipe Dom Luiz de Orleans e Bragança (1938) Chefe da Casa Imperial do Brasil. Herdeiro dinástico do Príncipe Dom Pedro Henrique de Orleans e Bragança (1909-1981). Bisneto da Princesa Isabel.
Príncipe Charles, Príncipe inglês,14/11/1948,não informado,"Príncipe Charles (1948) é o Príncipe de Gales, filho primogênito da Rainha Elizabeth II da Inglaterra e do Príncipe Philip, Duque de Edimburgo. É o primeiro na linha sucessória ao trono britânico."
Princesa Leia,não informado,não informado,não informado,
